Date,Actual
9/30/22,8.30%
6/30/22,8.60%
3/31/22,7.90%
12/31/21,6.80%
9/30/21,5.30%
6/30/21,5.00%
3/31/21,1.70%
12/31/20,1.20%
9/30/20,1.30%
6/30/20,0.10%
3/31/20,2.30%
12/31/19,2.10%
9/30/19,1.70%
6/30/19,1.80%
3/31/19,1.50%
12/31/18,2.20%
9/30/18,2.70%
6/30/18,2.80%
3/31/18,2.20%
12/31/17,2.20%
9/30/17,1.90%
6/30/17,1.90%
3/31/17,2.70%
12/31/16,1.70%
9/30/16,1.10%
6/30/16,1.00%
3/31/16,1.00%
12/31/15,0.50%
9/30/15,0.20%
6/30/15,0.00%
3/31/15,0.00%
12/31/14,1.30%
9/30/14,1.70%
6/30/14,2.10%
3/31/14,1.10%
12/31/13,1.20%
9/30/13,1.50%
6/30/13,1.40%
3/31/13,2.00%
12/31/12,1.80%
9/30/12,1.70%
6/30/12,1.70%
3/31/12,2.90%
