Date,Actual
9/30/22,3.25%
6/30/22,1.75%
3/31/22,0.50%
12/31/21,0.25%
9/30/21,0.25%
6/30/21,0.25%
3/31/21,0.25%
12/31/20,0.25%
9/30/20,0.25%
6/30/20,0.25%
3/31/20,0.25%
12/31/19,1.75%
9/30/19,2.00%
6/30/19,2.50%
3/31/19,2.50%
12/31/18,2.50%
9/30/18,2.25%
6/30/18,2.00%
3/31/18,1.75%
12/31/17,1.50%
9/30/17,1.25%
6/30/17,1.25%
3/31/17,1.00%
12/31/16,0.75%
9/30/16,0.50%
6/30/16,0.50%
3/31/16,0.50%
12/31/15,0.50%
9/30/15,0.25%
6/30/15,0.25%
3/31/15,0.25%
12/31/14,0.25%
9/30/14,0.25%
6/30/14,0.25%
3/31/14,0.25%
12/31/13,0.25%
9/30/13,0.25%
6/30/13,0.25%
3/31/13,0.25%
12/31/12,0.25%
9/30/12,0.25%
6/30/12,0.25%
3/31/12,0.25%
