Date,Revenue(Millions of US $)
9/30/22,"27,714 "
6/30/22,"28,822 "
3/31/22,"27,908 "
12/31/21,"33,671 "
9/30/21,"29,010 "
6/30/21,"29,077 "
3/31/21,"26,171 "
12/31/20,"28,071 "
9/30/20,"21,470 "
6/30/20,"18,687 "
3/31/20,"17,737 "
12/31/19,"21,082 "
9/30/19,"17,652 "
6/30/19,"16,886 "
3/31/19,"15,077 "
12/31/18,"16,914 "
9/30/18,"13,727 "
6/30/18,"13,231 "
3/31/18,"11,966 "
12/31/17,"12,972 "
9/30/17,"10,328 "
6/30/17,"9,321 "
3/31/17,"8,032 "
12/31/16,"8,809 "
9/30/16,"7,011 "
6/30/16,"6,436 "
3/31/16,"5,382 "
12/31/15,"5,842 "
9/30/15,"4,501 "
6/30/15,"4,042 "
3/31/15,"3,543 "
12/31/14,"3,851 "
9/30/14,"3,203 "
6/30/14,"2,910 "
3/31/14,"2,502 "
12/31/13,"2,585 "
9/30/13,"2,016 "
6/30/13,"1,813 "
3/31/13,"1,458 "
12/31/12,"1,585 "
9/30/12,"1,262 "
6/30/12,"1,184 "
3/31/12,"1,058 "
