Date,Cushing OK WTI Spot Price FOB Dollars per Barrel
9/30/22,84.26
6/30/22,114.84
3/31/22,108.5
12/31/21,71.71
9/30/21,71.65
6/30/21,71.38
3/31/21,62.33
12/31/20,47.02
9/30/20,39.63
6/30/20,38.31
3/31/20,29.21
12/31/19,59.88
9/30/19,56.95
6/30/19,54.66
3/31/19,58.15
12/31/18,49.52
9/30/18,70.23
6/30/18,67.87
3/31/18,62.73
12/31/17,57.88
9/30/17,49.82
6/30/17,45.18
3/31/17,49.33
12/31/16,51.97
9/30/16,45.18
6/30/16,48.76
3/31/16,37.55
12/31/15,37.19
9/30/15,45.48
6/30/15,59.82
3/31/15,47.82
12/31/14,59.29
9/30/14,93.21
6/30/14,105.79
3/31/14,100.8
12/31/13,97.63
9/30/13,106.29
6/30/13,95.77
3/31/13,92.94
12/31/12,87.86
9/30/12,94.51
6/30/12,82.3
3/31/12,106.16
